投诉编号,投诉品牌,投诉车系,投诉车型,问题简述,典型问题,典型问题2,典型问题3,投诉时间,投诉状态,文本
509924,一汽马自达,马自达CX-4,2020款 2.5L 自动 两驱 蓝天驾趣版,"上汽名爵EZS纯电动空调噪音大制冷效果差
广汽菲克Jeep指南者变速箱异响顿挫
斯柯达柯迪亚克方向盘共振希望厂家处理
一汽大众高尔夫经销商收取服务费欺骗消费者
广汽丰田凯美瑞方向盘掉皮希望尽快处理
上汽大众朗行车内异味严重希望厂家解决
一汽马自达阿特兹B柱异响 中控台异响
进口林肯MKZ座椅皮面脱落希望厂家处理
广汽传祺GS4车载智慧传祺APP无法使用
比亚迪宋Pro唤醒式LED大灯功能与宣传不符
一汽森雅R9发动机抖动油耗高厂家无法联系
东风日产天籁车内异味严重希望处理
东风日产轩逸车顶车漆大面积生锈爆裂
一汽大众奥迪Q5L变速箱拖挡故障灯亮
比亚迪宋Pro新能源车型配置与宣传不符
上汽大众途观L排水管接头老化开裂导致漏水
福迪揽福发动机怠速不稳遥控钥匙无法解锁
凯迪拉克ATS-L变速箱无法加速抖动严重
北汽威旺M50F方向管柱异响 4S店没有配件
一汽大众奥迪Q5厂家虚假回复4S店不做处理
北京现代领动传感器故障耐克森轮胎鼓包
东风雪铁龙世嘉变速箱电磁阀故障
东风日产天籁车内异味厂家不处理
雪佛兰探界者发动机故障灯亮希望厂家处理
广汽菲亚特致悦行驶中变速箱失去动力	
长城C50车身出现严重腐蚀生锈的现象
雪佛兰科鲁兹行驶过程中安全气囊自动弹开
一汽马自达CX-4车身异响厂家未处理",车身附件及电器,车身异响,,2020-08-17,处理反馈,变速器
509876,东风悦达起亚,起亚K3,2019款 1.5L CVT 新锐版,"长安福特翼虎变速箱故障灯报警希望处理
斯柯达速派天窗异响4S店停业无法维修
长安沃尔沃S80L变速箱报警无法换挡
广汽三菱欧蓝德冷车启动时发动机启动困难
一汽大众奥迪A4L中控台有电流声音
奇瑞瑞虎7驾驶室及车顶漏水望厂家解决
众泰T600变速箱无法换挡 温度过高
长安逸动加满燃油后车辆无法启动
东风本田INSPIRE转向异响多次维修未解决
长城C50车身多处生锈严重希望厂家处理
广汽丰田雷凌车身色差希望尽快处理
凯迪拉克XTS 4S店在维修中将内饰板损伤
东风日产楼兰变速器故障无法加速
北京奔驰E级发动机故障灯亮 变速器顿挫
上汽大众途观L天窗控制板与照明灯处漏水
一汽大众高尔夫变速箱机电单元故障
一汽丰田RAV4荣放质量缺陷要求退还定金
长安福特锐界低速转弯时底盘异响明显
比亚迪宋多媒体中控屏幕黑屏卡顿重启
一汽大众奥迪A4L发动机漏防冻液 飞轮异响
一汽大众奥迪A4L中控异响 变速箱异响抖动
哈弗H6 Coupe底盘锈蚀严重存在安全隐患
一汽大众速腾发动机漏防冻液要求给予处理
DS 5LS空调压缩机不制冷希望尽快解决
Jeep指南者变速箱顿挫明显4S店无法解决
一汽马自达CX-4车身异响车门打开时异响
长安福特福睿斯车辆无法启动希望给处理
起亚K3中控显示屏里程无法显示4S店不解决",车身附件及电器,影音系统故障,,2020-08-16,处理反馈,车身附件及电器
509812,SWM斯威汽车,SWM斯威X7,2016款 1.5T 豪华型,"BEIJING 绅宝X25行驶中转向卡滞影响安全
一汽大众宝来中控饰板开裂 转向有异响
北京现代领动变速箱无法挂挡要求处理
上汽通用五菱宏光变速箱四挡无法挂入
一汽丰田凯美瑞门把手脱落 空调漏水
一汽马自达阿特兹行驶过程中AB柱有异响
奇瑞艾瑞泽5停车时天窗自动打开车内进水
东风雪铁龙爱丽舍行驶过程中ABS故障灯亮
长安悦翔V7发动机舱内有生锈的现象
东风日产蓝鸟发动机故障灯亮行驶时跑偏
长安逸动空调鼓风机出现漏水的现象
别克英朗两前车门出现生锈腐蚀的现象
东风本田思域优科豪马轮胎脱皮要求更换
东风雪铁龙C4L方向盘晃动存在安全隐患
广汽本田雅阁后车轮四轮定位偏差
一汽马自达阿特兹车身两侧以及中控台异响
东风本田思域发动机缸体生锈4S店拒绝保修
北京现代领动转向异响 车灯进水
斯柯达明锐刹车变速箱异响车载导航无信号
众泰T700漆面开裂希望厂家处理问题
一汽大众奥迪Q5L网关控制器进水严重
一汽大众奥迪A6L质保期内防冻液缺失
东风日产轩逸刹车异响希望厂家处理问题
雪佛兰科鲁泽车顶漆面皲裂希望厂家处理
一汽解放J6P发动机漏油希望厂家处理问题
东风日产蓝鸟刹车偏软制动距离长要求解决
广汽传祺GS4冷启动发动机抖动希望厂家处理
SWM斯威X7 ABS故障 发动机漏油",发动机,漏油,无法换挡,2020-08-16,信息审核,转向系统
509756,上汽斯柯达,明锐,2015款 1.6L 自动 逸俊版,"上汽大众桑塔纳悬挂元宝梁及排气管生锈
一汽大众探歌韩泰轮胎行驶不到一年出现裂纹
广汽本田冠道电瓶亏电发动机无法启动
东风标致308方向盘抖动间隙大影响安全
东风日产轩逸转向柱异响十分严重
广汽本田缤智后视镜脱落 挡位按钮缺少护盖
广汽三菱欧蓝德发动机油耗高变速箱顿挫
北京现代途胜变速箱升到二挡后动力中断
捷达VS5 4S店售后喷漆后车身漆面有起泡现象
东风日产轩逸挂挡时变速箱有抖动的现象
东风本田杰德仪表盘无法正常显示影响使用
别克昂科威行驶过程中变速箱抖动有异响
吉利缤瑞车身生锈 B柱异响希望给予解决
哈弗F5中控屏频繁死机4S店多次维修未解决
东风雪铁龙C4L发动机散热器处漏防冻液
一汽大众宝来·纯电动力电池高温充电时间长
吉利帝豪起步时变速箱顿挫希望给予处理
东风雪铁龙世嘉变速箱顿挫ABS故障报警
长安福特福克斯无法加速无法倒车要求处理
江西五十铃瑞迈发动机曲轴后油封漏油
广汽丰田凯美瑞加装配件品质差服务态度差
绅宝D50设计缺陷车内进水多个故障灯亮
宝骏E200行驶过程中刹车突然失灵
上汽大众凌渡车内有严重异味影响身体健康
广汽丰田凯美瑞中控台出油反光影响安全
一汽大众奥迪Q3 ABS故障灯亮无法切换远近光
广汽本田凌派主驾驶侧门锁位置有毛刺
斯柯达明锐车内一直存在浓重的异味",车身附件及电器,车内异味,,2020-08-16,用户评分,轮胎
509706,上汽大众,朗逸,2017款 1.6L 手动 风尚版,"奇瑞瑞虎e车机死机空调无法调节温度
吉利帝豪GL变速箱无法换挡影响行车安全
东风标致408空调不制冷要求厂家给予解决
比亚迪宋维修时变速器螺纹孔滑丝操作不规范
一汽马自达阿特兹车身异响要求厂家处理
东风雪铁龙C4L冷车启动发动机异响
一汽丰田奕泽后排座椅下方有严重生锈的现象
雪佛兰探界者制动辅助系统报警4S店不予处理
广汽传祺GS4行驶中变速箱顿挫希望尽快解决
北京现代途胜座椅生锈严重 4S店服务态度差
吉利远景S1天窗漏水 质保期内维修收费
开瑞优优EV动力电池故障 续航里程不足
东风标致301更换电瓶后ABS故障灯闪烁
一汽大众探歌韩泰轮胎开裂 后轮异响
一汽大众速腾自动启停功能失灵空调不制冷
上汽大众途昂无法挂入倒车挡 故障灯亮
长安福特锐际启动后动力总成和换挡系统故障
上汽大众途安变速箱挡把总成故障
奇瑞瑞虎8 4S店免费贴膜承诺不予兑现
一汽丰田亚洲龙车门关闭困难而且有异响
进口雪铁龙C4发动机涡轮增压器漏油严重
一汽大众奥迪A3变速箱异响换挡顿挫
北汽威旺S50变速箱抖动严重4S店无法解决
广汽丰田凯美瑞半轴防尘套漏油严重
一汽大众速腾转向机生锈变速箱起步顿挫
长安CS85 COUPE减震器漏油4S店不解决
奇瑞瑞虎3x发动机抖动严重希望给予处理
上汽大众朗逸韩泰轮胎开裂严重4S店不解决",轮胎,开裂,服务态度,2020-08-16,处理反馈,变速器
509660,长城汽车,哈弗F7,2020款 1.5T 两驱 i潮,"一汽马自达阿特兹车身及中控多处异响严重
一汽解放J6F发动机无法提速4S店无法解决
奇瑞风云2两前减震器生锈严重存在安全隐患
别克君威车内异味严重要求尽快处理
进口奥迪A6变速箱异响希望尽快处理
比速T3天窗漏水无法打开倒车影像失灵
长安福特探险者排气管抖动严重要求解决
一汽马自达阿特兹行驶中车身异响严重
名爵EZS纯电动空调压缩机噪音大 电机异响
长城C50车身多处生锈发动机烧机油严重
上汽大众威然加油跳枪电动门开关电机异响
广汽传祺GS4倒车影像辅助线存在偏差
红旗HS5车身天窗及中控异响严重要求处理
亚太沃尔沃XC60发动机故障灯多次报警
一汽大众速腾轮速传感器故障要求厂家解决
上汽荣威RX5经销商销售未返还置换补贴
吉利远景变速箱漏油烧毁要求尽快解决
上汽大众朗行车内异味严重要求厂家解决
江铃新能源E200L动力电池故障厂家无配件
上汽名爵EZS纯电动车身漏水空调不制冷
东风本田思域车身生锈希望厂家处理
一汽大众奥迪A4L空调异响 发动机舱异响
东南DX3发动机盖生锈 行驶时全车断电
江铃域虎3后排座椅异响 刹车时抖动
一汽马自达阿特兹两侧A柱和B柱有异响
进口奔驰G级经销商销售拼装车要求处理
广汽本田凌派车门内侧出现生锈的现象
哈弗F7松油门时油门下方存在异响声",发动机,油门故障,,2020-08-16,处理反馈,发动机
509602,猎豹汽车,猎豹CS10,2017款 2.0T 自动 都市型,"别克君威低速行驶时左后轮处有异响
雪佛兰赛欧车内一直存在刺鼻的异味
东风标致408轮毂氧化表面有明显斑点	
东风标致408更换正时皮带后发动机烧机油
斯柯达速派变速箱机电控制单元损坏故障灯亮
东风日产劲客4S店销售库存车要求解决
一汽丰田亚洲龙发动机共振低速变速箱顿挫
上汽大众桑塔纳右侧大灯反光碗损坏
吉利帝豪GS制动液泄漏厂家没有回复
进口沃尔沃XC90换挡时变速箱明显抖动
WEY VV7变速箱顿挫变速箱温度过高
猎豹CS9车联网功能无法使用要求解决
名爵EZS纯电动空调不制冷压缩机噪音大
一汽马自达阿特兹车身及中控台异响严重
长安睿骋CC变速箱故障灯亮 天窗异响
腾势4S店维修后挡风玻璃损坏空调鼓风机不转
斯柯达速派发动机烧机油 故障灯亮
哈弗H2s中控台仪表台有鼓包的现象
东风本田CR-V车门共振异响后视镜异响
别克凯越中控仪表台开胶雨刮器挡位失灵
一汽大众速腾踩油门加速变速箱有异响
别克凯越中控仪表台脱胶开裂顶棚脱落
哈弗H6车内一直存在浓重的异味
长安逸动发动机启动时间过长要求处理
别克英朗行驶过程中刹车变硬导致事故
本田皓影控制电脑损坏4S店未告知故障原因
雪佛兰迈锐宝XL挂入P挡后仪表显示未挂入
猎豹CS10配件质量差导致频繁故障	",,配件争议,,2020-08-16,信息审核,车身附件及电器
509553,一汽-大众,宝来,2017款 1.6L 手动 时尚型,"吉利博越倒挡踩油门时变速箱有明显的异响
众泰云100控制器损坏厂家一直没有配件
启辰T70变速箱电磁阀故障导致顿挫	
华泰圣达菲变速箱异响顿挫一直未解决
东风日产轩逸离合器踏板生涩发硬有异响
马自达阿特兹中控台B柱异响玻璃密封条脱胶
一汽丰田卡罗拉转向时异响行驶中车内异响
上汽大众途安车内一直存在浓重的异味
吉利缤瑞电瓶损坏导致发动机无法启动
保时捷Macan发动机漏油4S店未经允许维修
华晨宝马3系热管理模块损坏导致漏防冻液
东风日产轩逸质保期内大灯起皮厂家不予赔付
东风日产轩逸变速箱异响方向盘内异响
东风日产逍客行驶时变速箱抖动异响脱挡
捷达VS5涡轮增压器接口处出现生锈的现象
别克凯越中控仪表台脱胶开裂越来越严重
凯翼X5 4S店销售库存车涉嫌欺诈
一汽大众奥迪Q5坡道上倒车时动力不足
东风日产轩逸车身漏水导致车内有大量积水
上汽大众途岳颠簸路段行驶时变速箱有异响
广汽本田雅阁行驶过程中突然失去动力
东风风神AX7空调制冷效果差要求厂家处理
BEIJING-EU5充电时散热风扇噪音过大
奇瑞捷豹路虎发现神行凸轮轴故障故障灯亮
别克威朗4S店售后服务态度恶劣要求处理
斯威X7防侧滑系统故障灯亮踩刹车时车轮抱死
东风雪铁龙世嘉远近光灯无法正常切换
一汽大众宝来变速箱漏油行驶时变速箱异响",变速器,异响,漏油,2020-08-15,用户评分,发动机
509487,上汽集团,名爵EZS纯电动,2019款 E-Lite版,"一汽大众奥迪A4L座椅皮面脱落要求处理
东风悦达起亚K3车灯亮度低影响行车安全
一汽马自达阿特兹B柱天窗和中控台有异响
长安CS75雷达失灵导致故障报警要求处理
上汽大众朗逸质保期内行驶中自燃
长安睿骋车内一直存在异味影响健康
东风标致3008发动机故障灯亮空调压缩机损坏
哈弗F7发动机烧机油严重要求处理
比亚迪宋Pro逐级点亮唤醒式大灯与宣传不符
广汽本田飞度启动机损坏发动机无法启动
中华V3定速巡航突然失灵无法正常使用
奇瑞瑞虎7底盘悬架生锈而且漏油
长安福特福克斯4S店喷漆色差大要求处理
长安睿骋气门室盖漏油要求厂家给予解决
东风标致408固特异轮胎鼓包要求尽快解决
奇瑞艾瑞泽5车身生锈破损导致车内漏水
比亚迪秦Pro新能源4S店销售不退还贷款定金
东风标致3008发动机漏油4S店不予解决
长安逸动DT车内后视镜无故脱落要求解决
吉利帝豪GL经销商维修后漆面生锈有色差
别克昂科威差速器异响要求厂家召回处理
东风雪铁龙C4世嘉车机系统无故重启
一汽大众迈腾4S店无法进行自备配件保养
上汽大众凌渡加速时变速箱抖动要求解决
一汽大众速腾ABS和ESP故障报警要求解决
新宝骏RS-5发动机怠速不稳噪音大希望解决
一汽大众速腾变速箱异响前杠漆面起泡
名爵EZS纯电动空调压缩机异响要求解决",车身附件及电器,空调问题,,2020-08-15,处理反馈,车身附件及电器
509434,BEIJING汽车,E系列,2013款 1.5L 手动 乐天版 两厢,"奇瑞瑞虎8发动机异响上坡无力熄火要求解决
BEIJING U7变速箱异响要求厂家给予解决
东风风神AX7前悬挂异响希望厂家给予解决
凯迪拉克XT4大灯进水刹车异响要求处理
凯迪拉克XT4右前悬挂异响要求厂家解决
长安福特蒙迪欧车内异味严重要求厂家处理
江淮瑞风S3两前轮内侧吃胎严重要求解决
上汽名爵6车辆严重事故气囊未弹出
东风雪铁龙C4L方向盘上下晃动4S店不保修
斯柯达柯迪亚克GT发动机和空调异响严重
广汽丰田汉兰达车身漆面掉漆起皮严重
名爵EZS纯电动空调异响不制冷中控屏异响
斯柯达明锐雨刮器故障希望厂家处理问题
别克英朗新车漆面有维修痕迹4S店不解决
一汽马自达阿特兹车身与中控异响严重
众泰T700后备箱电动液压杆损坏厂家无配件
一汽奔腾T77变速箱报警抖动4S店无法解决
东风日产奇骏右后减震器漏油4S店不保修
比亚迪宋Pro引擎盖无法顺畅打开要求解决
北京现代领动转向间歇性异响4S店无法解决
Jeep指南者车身漏水严重厂家不予解决
凯迪拉克CT4新车发动机故障灯多次报警
上汽名爵EZS纯电动空调不制冷大灯损坏
奇瑞艾瑞泽5车辆跑偏内饰异响要求解决
一汽马自达CX-4经销商销售赠送项目不兑现
上汽名爵EZS纯电动空调泵异响制冷效果差
东风本田艾力绅召回换燃油泵导致泄露汽油
BEIJING E系列离合器踏板支撑架断裂",离合器,松动,,2020-08-15,处理反馈,变速器
509373,吉利汽车,帝豪,2017款 1.5L CVT 向上版 三厢 百万款,"东风日产轩逸仪表盘罩破裂4S店不予保修
东风标致3008油箱负压发动机故障灯报警
一汽大众CC后尾灯进灰后备箱进水要求处理
长安马自达昂克赛拉4S店保费与实际不符
一汽大众速腾变速箱异响顿挫减速跳挡
一汽大众奥迪A3车窗升降故障 车顶漏水
一汽大众捷达VS7玲珑轮胎开裂 涡轮生锈
长安马自达昂克赛拉发动机变速箱漏油
东风风光580副驾驶车窗升降故障
广汽丰田凯美瑞排气管生锈 方向盘脱皮
一汽马自达CX-4行驶过程中左前轮处有异响
长安福特福睿斯方向盘抖动希望尽快处理
东风悦达起亚智跑车门生锈侧裙生锈
长安铃木启悦后雾灯线路烧毁损坏
华晨宝马X1后备箱漏水影响正常使用
一汽奔腾B30发动机缺缸故障灯亮
别克昂科旗变速箱故障 自适应大灯故障
上汽名爵6贷款解压业务4S店收费不合理
广汽丰田雷凌后减震器渗油更换后未解决
东风日产奇骏仪表提示变速箱故障灯亮
东风本田XR-V更换电磁阀后加速异响
吉利缤越车机系统与宣传不符要求更换车机
东风日产骐达变速箱故障灯亮要求延保
北汽昌河Q35安全气囊故障ESP故障
南京依维柯欧胜悬挂异响希望尽快处理
宝骏730气囊故障 离合器分离轴承漏油
奇瑞瑞虎3更换方向机后转向异响
吉利帝豪刹车疲软 存在安全隐患",制动系统,刹车偏软,,2020-08-15,用户评分,发动机
509299,奇瑞汽车,捷途X90,2019款 1.5T 自动 尊享型 6座 国V,"广汽本田皓影门窗异响希望尽快解决
奇瑞艾瑞泽5刹车异响严重希望处理
东南DX7发动机抖动希望尽快处理问题
北京奔驰C级变速箱故障导致无法换挡
上汽大众途安左侧A柱三角窗处传出异响
东风日产轩逸车灯老化脱皮影响使用
哈弗H2三元催化器故障希望得到处理
东风日产轩逸行驶中踩刹车方向盘抖动
别克昂科拉刹车疲软制动距离过长
广汽丰田凯美瑞电池过热保护频繁启动
东风本田思域优科豪马轮胎掉皮影响安全
上汽大众途观发动机转速高车速却很低
一汽马自达阿特兹行驶过程中车内有异响
一汽马自达CX-4车身异响希望处理
哈弗H4固特异轮胎开裂 要求免费更换
一汽马自达阿特兹车身中控台异响严重
广汽丰田雷凌行车记录仪故障一直未解决
一汽马自达阿特兹车身A柱B柱异响
一汽马自达CX-4车窗异响要求给予解决
一汽马自达阿特兹顶棚异响 天窗异响
东风标致2008质保期内烧机油不解决
沃尔沃亚太S60米其林轮胎开裂影响安全
上汽名爵6发动机凸轮轴故障希望尽快处理
一汽大众探岳大灯透镜发白 变速器异响
一汽大众奥迪Q5L主驾驶车门异响
BEIJING-U7大灯外罩内起雾存在质量问题
一汽马自达CX-4车身钣金异响希望厂家解决
奇瑞捷途X90钥匙手环损坏厂家不索赔",车身附件及电器,车钥匙故障,,2020-08-15,处理反馈,制动系统
509235,东风日产,奇骏,2017款 2.5L CVT 豪华版 5座 4WD,"东风标致308行驶中方向盘抖动影响使用
一汽大众迈腾左前轮异响希望尽快处理
一汽奔腾B30行驶中突然熄火 无法启动
上汽名爵ZS车身底盘生锈要求厂家补偿
启辰T90私自拆卸零件 补贴未兑现 不开发票
奇瑞瑞虎8行驶跑偏希望尽快处理
长城风骏5行驶跑偏底盘异响维修未解决
一汽丰田RAV4荣放尾灯自然开裂质量差
华晨宝马3系热量管理模块泄漏防冻液
进口沃尔沃S60发动机严重烧机油	
奇瑞艾瑞泽5内拉手断裂正常使用断裂损坏
一汽大众宝来开空调怠速不稳有闯动感
东风日产奇骏空调管路结冰要求尽快处理
华晨宝马X1新能源提车当天发动机故障灯亮
一汽丰田RAV4荣放动力不足发动机报警
东风日产轩逸变速箱异响希望得到处理
北汽幻速S5倒车影像黑屏而且自动重启	
别克英朗离合器回位不正常挡杆不能拨动
进口Jeep指南者车内异味严重希望处理
别克英朗转向异响左转后方向盘自动归位卡滞
东风雪铁龙C4世嘉方向盘上下晃动间隙大
英菲尼迪QX60变速箱低速抖动严重
一汽丰田皇冠方向盘掉皮希望处理
东风标致408发动机故障 机油压力低
一汽大众奥迪A6L低速行驶变速箱抖动异响	
广汽本田雅阁雨天高速行驶发生失速
哈弗F7固特异轮胎漏气 中控黑屏
东风日产奇骏刹车系统报警 故意拖延",制动系统,故障灯亮,服务态度,2020-08-14,处理反馈,前后桥及悬挂系统
509185,广汽本田,凌派,2019款 180Turbo CVT 领先版 国VI,"上汽大众帕萨特行驶中变速箱机电单元故障
上汽名爵EZS纯电动压缩机异响 蒸发箱漏水
上汽名爵ZS服务态度差要求得到处理
一汽丰田皇冠转向异响卡死影响安全
江铃福特领界右前玛吉斯开裂影响安全
凯迪拉克SRX中控触摸屏无法使用
广汽传祺GS4车身B柱生锈希望尽快处理
一汽大众高尔夫变速箱双离合系统故障
东风本田INSPIRE主驾驶及中控台附近异响
哈弗H4中控屏内部有水汽影响正常使用
东风多利卡发动机不烧尿素希望处理
东风标致408车门固定螺钉生锈 轮毂氧化
上汽荣威Ei5车载音乐总是不能播放
上汽名爵6后挡风玻璃自己发生爆裂
WEY VV7发动机烧机油严重缸体磨损
北京现代索纳塔九发动机抖动方向盘面板脱漆
上汽大众凌渡中控花屏希望尽快处理
雪佛兰探界者车身主驾驶门板内侧油漆鼓包
观致5发动机故障灯亮希望尽快解决
凯迪拉克ATS-L前平衡杆断裂要求处理
一汽大众速腾变速箱机电单元故障
北京现代领动锦湖轮胎鼓包希望处理
广汽本田雅阁悬挂异响希望尽快处理
一汽丰田亚洲龙中控台和车门有异响
一汽马自达阿特兹ABC柱和中控台异响
吉利远景变速箱异响挂前进挡却向后行驶
东风风光580发动机温度高动力不足
广汽本田凌派仪表显示发动机排放系统故障",发动机,排气故障,,2020-08-14,处理反馈,发动机
509127,长城汽车,哈弗H6,2018款 1.5T 自动 两驱 精英型 运动版 蓝标,"上汽大众朗逸变速箱顿挫 离合器自动打开
北汽昌河M70频繁出现故障希望处理
亚太沃尔沃S60新能源经销商提不到车
凯迪拉克CT6变速箱异响希望尽快处理
一汽大众迈腾变速箱机电模块故障
一汽大众韩泰轮胎出现裂纹影响安全
一汽大众探歌后轮吃胎偏磨影响安全
长安福特福睿斯冷凝器漏雪种 玻璃升降失效
吉利星越新能源车机系统卡顿与宣传不符
一汽丰田RAV4荣放天窗漏水4S店查不出来
哈弗F7变速箱降挡异响 无法解决
广汽本田思迪玻璃升降器脱扣无法使用
捷达VS7后备箱胶条老化希望处理
吉利远景转向机烧坏4S店拒绝索赔
雪佛兰迈锐宝XL提示电池电压低需启动车辆
一汽马自达阿特兹踩刹车抖动转向机异响
众泰Z500质保期内出现的质量问题不予索赔
上汽名爵HS车辆存在补漆现象希望处理
众泰T600挂挡时发动机噪音大影响驾驶
东风标致308S发电机故障车抖 燃油箱故障
别克君威车辆开空调动力不足 油门延迟
东风标致308S召回更换正时皮带后烧机油
一汽马自达阿特兹车身和天窗异响严重
凯翼X3车机与宣传不一致 承诺保养未兑现
长安福特福克斯发动机故障灯报警
别克昂科威低速行驶和转弯后差速器异响
东风日产轩逸行驶过程中发生自燃
哈弗H6手刹故障自动驻车故障无法行驶",制动系统,手刹故障,行车安全辅助系统故障,2020-08-14,处理反馈,发动机
509078,上汽大众,桑塔纳,2017款 1.6L 自动 舒适版 浩纳,"东风日产天籁中控和前车门异响严重
众泰SR9变速箱故障厂家没有配件
别克凯越发电机故障希望厂家处理解决
别克微蓝6经销商收取意向金不予退还
奇瑞艾瑞泽5刹车变硬踩不下检查不出问题
北京现代索纳塔八左前轮严重异响
长安福特锐际电瓶亏电希望厂家处理问题
雪佛兰探界者加速时时油门踏板抖动
雪佛兰迈锐宝XL行驶中动力缺失踩油门无反应
北京现代领动刹车异响变速箱顿挫严重
一汽大众迈腾车门内饰皮质鼓包严重
东风日产逍客普利司通轮胎出现开裂
BEIJING-EU5续航里程过低要求解决
一汽马自达阿特兹车身异响严重希望解决
上汽大众朗逸车内异味影响身体健康
凯迪拉克ATS-L变速箱抖动异响严重
别克VELITE 5漏水 4S店损伤玻璃拒绝赔偿
一汽大众速腾经销商拒绝按时交付车辆
一汽大众速腾方向盘磨损脱皮存在质量问题
东风日产逍客行驶时顿挫 挂D挡无法行驶
广汽本田奥德赛气门故障起步时抖动
一汽丰田亚洲龙机油增多希望尽快解决
哈弗H6 Coupei前挡玻璃出现水纹状裂痕
欧拉黑猫换挡开关凹陷 售后推卸责任
北京现代途胜冷车启动刹车失灵 异响 变硬
新宝骏RM-5天窗帘损坏 售后无配件维修
上汽名爵6车价优惠不一样 服务态度恶劣
上汽大众桑塔纳4S店车贷解压无理由收费",,服务态度,服务收费,2020-08-14,处理反馈,变速器
509025,上汽斯柯达,昕锐,2018款 1.6L 手动 舒适版,"广汽丰田雷凌普利司通轮胎凹槽部位龟裂
别克君威车辆开空调动力不足希望处理
东风雪铁龙世嘉变速箱换挡冲击大
奇瑞eQ快充插口故障导致无法充电
一汽马自达阿特兹车身与方向机异响
东风标致308三元催化器故障厂家不予保修
斯柯达明锐行驶中低频共振要求解决
长安跨越王X5行驶中三元催化器故障
吉利海景4S店不提供备用钥匙要求解决
别克凯越中控台开胶要求更换处理
上汽大众凌渡变速箱升降挡异响严重
广汽丰田雷凌空调面板掉漆存在质量问题
捷达VS5空调出风口异响希望厂家处理
上汽大众帕萨特右后门车内氛围灯不亮
一汽大众宝来车顶流水槽车漆开裂
一汽丰田皇冠车内异味严重 仪表台开裂
东风风神H30发动机怠速异响影响驾驶
一汽马自达CX-4车身异响严重希望解决
华晨宝马3系空调不制冷多次维修未解决
别克君越低速行驶底盘异响存在质量问题
江淮瑞风S5发动机掉落厂家不处理
一汽大众迈腾发动机漏油 变速箱故障灯亮
奇瑞艾瑞泽GX厂家未提供检测报告发动机抖动
进口奥迪TT尾灯罩开胶漏水存在质量问题
江铃驭胜S350左前轮处减震悬挂异响
一汽马自达CX-4 4S店无法出示原厂配件证明
众泰Z560启动噪音大 排气管歧管损坏
斯柯达昕锐离合器沉重 希望厂家处理",离合器,沉重,,2020-08-14,处理反馈,发动机
508980,江铃汽车,驭胜S330,2016款 1.5L GTDi 自动 两驱 尊贵版,"东南V3菱悦左右侧裙严重生锈腐蚀
广汽本田飞度冷车启动时异响严重
哈弗H6疑似电路故障造成电瓶多次亏电
哈弗H2s离合器异响卡顿 中控台鼓包
奇瑞艾瑞泽5方向盘无法回正抖动明显
广汽丰田汉兰达发动机曲轴后油封漏油
比亚迪宋Pro龙晶之魂逐级点亮大灯虚假宣传
猎豹Mattu转向机异响 厂家无货无法更换
吉利远景变速箱倒挡不走 挂挡有异响
一汽马自达阿特兹ABC柱 中控异响
一汽丰田卡罗拉4S店欺骗消费者不兑现承诺
一汽大众探岳大灯发白不亮影响驾驶
上汽大众凌渡变速箱2挡起步存在质量问题
江铃重汽威龙线路问题导致发动机熄火
奇瑞捷豹路虎揽胜极光空调5挡时存在异响
亚太沃尔沃S90低频噪音大共振严重
雪佛兰创酷发动机故障 4S店补偿不兑现
吉利帝豪发动机凸轮轴与曲轴安装不合理
一汽马自达阿特兹车内异响 厂家不回复
一汽丰田RAV4荣放车顶两侧纵梁有明显凹陷
广汽传祺GS8智慧传祺APP无法升级使用
别克英朗天窗部件断裂导致异响产生
别克英朗安吉星功能无法升级导致无法使用
北京现代途胜怠速过低导致抖动排气管共振
上汽大众途观L变速箱机电控制单元故障
雷克萨斯ES方向盘异响维修未解决问题
一汽大众奥迪Q5L后座椅进水希望厂家处理
江铃驭胜S330发动机拉缸漏油防冻液渗漏",发动机,漏油,漏防冻液,2020-08-14,处理反馈,发动机
